0	14462588
1	15005400
2	11230780
3	7637208
4	5136484
5	3533184
6	2508686
7	1831010
8	1354650
9	1013694
10	762944
11	576274
12	436748
13	333072
14	255072
15	198444
16	154414
17	121862
18	96600
19	76184
20	61500
21	49720
22	40290
23	33146
24	27444
25	22534
26	18778
27	15602
28	13328
29	10946
30	9692
31	8010
32	6902
33	5704
34	5222
35	4498
36	3924
37	3472
38	2926
39	2640
40	2424
41	2064
42	1844
43	1696
44	1558
45	1344
46	1306
47	1192
48	1136
49	894
50	868
51	822
52	808
53	740
54	692
55	626
56	662
57	642
58	584
59	522
60	606
61	524
62	492
63	504
64	462
65	430
66	440
67	386
68	374
69	322
70	338
71	300
72	310
73	300
74	290
75	224
76	308
77	220
78	266
79	228
80	206
81	300
82	196
83	280
84	200
85	252
86	232
87	172
88	160
89	186
90	176
91	182
92	206
93	220
94	156
95	170
96	182
97	134
98	130
99	150
100	132
101	112
102	132
103	90
104	116
105	100
106	106
107	96
108	80
109	104
110	106
111	64
112	66
113	48
114	64
115	52
116	56
117	42
118	36
119	38
120	42
121	48
122	40
123	32
124	42
125	32
126	40
127	32
128	34
129	46
130	20
131	30
132	28
133	22
134	22
135	16
136	34
137	14
138	10
139	14
140	22
141	26
142	18
143	12
144	6
145	14
146	14
147	18
148	30
149	26
150	18
151	24
152	16
153	20
154	10
155	18
156	12
157	12
158	16
159	6
160	8
161	22
162	8
163	18
164	12
165	10
166	16
167	12
168	12
169	8
170	8
171	14
172	6
173	6
174	12
175	8
176	10
177	6
178	8
179	14
180	8
181	4
182	6
183	2
184	8
185	4
186	8
187	4
188	10
189	6
191	12
192	6
193	2
194	6
195	4
197	2
198	4
199	6
200	6
201	2
202	8
204	2
205	2
206	2
207	8
208	4
209	6
210	12
211	12
212	2
213	6
214	4
215	2
216	2
217	4
218	2
219	4
220	4
221	4
222	8
223	4
224	4
225	8
226	2
227	4
228	4
229	4
230	6
231	2
232	4
233	6
234	10
236	4
237	2
238	2
239	2
240	2
241	4
242	8
247	4
248	6
249	4
250	4
251	4
252	4
254	4
256	2
257	4
258	4
259	2
260	2
263	2
264	2
265	6
266	2
267	4
268	2
269	2
270	6
271	2
272	2
273	2
274	2
275	2
276	6
277	4
278	4
279	4
280	4
281	2
283	2
285	4
287	4
290	6
291	6
292	4
294	2
296	4
298	2
299	6
300	2
301	4
304	4
305	4
306	4
307	2
308	2
309	2
310	8
315	6
316	2
320	4
321	2
323	4
325	2
327	2
329	4
330	2
331	2
332	2
334	2
337	4
338	4
340	2
341	8
342	2
344	4
348	6
350	4
351	4
354	2
355	2
356	4
361	2
363	4
366	4
369	4
370	2
371	2
372	2
380	4
381	8
382	2
384	2
386	2
390	2
391	2
394	2
395	2
399	2
400	2
401	2
402	2
407	4
408	4
409	2
410	2
413	2
415	2
423	2
424	2
435	2
440	2
442	2
447	2
453	4
457	4
462	2
467	2
468	2
471	2
472	2
473	2
479	2
482	2
493	2
497	4
499	2
506	2
508	2
510	2
516	4
521	2
522	4
532	2
533	2
536	2
538	2
550	2
556	2
557	2
558	2
569	2
575	2
577	2
584	2
615	2
623	2
627	2
630	2
638	2
644	2
654	2
664	2
668	2
684	4
701	2
708	2
709	2
710	2
712	2
717	2
719	2
725	2
729	4
738	4
740	2
743	2
744	2
760	2
776	2
784	2
794	2
837	2
872	2
885	2
915	2
927	2
930	2
957	2
1006	2
1015	2
1017	2
1025	2
1031	2
1032	2
1048	2
1052	2
1075	2
1111	2
1113	2
1122	2
1125	2
1134	2
1149	2
1153	2
1158	2
1186	2
1202	2
1226	2
1228	2
1235	2
1237	2
1273	2
1331	2
1373	2
1385	2
1417	2
1481	2
1657	2
1702	2
1796	2
1906	2
1908	2
2046	2
2481	2
3111	2
3198	2
3699	2
12122	2
41199	2
